source_row,item,age_group,mean,share_reported,se,rse
8,Income before taxes,All consumer units,104207.0,,1248.94,1.2
8,Income before taxes,Under 25 years,48514.0,,3585.03,7.39
8,Income before taxes,25-34 years,102494.0,,2500.8,2.44
8,Income before taxes,35-44 years,128285.0,,2889.26,2.25
8,Income before taxes,45-54 years,141121.0,,4186.85,2.97
8,Income before taxes,55-64 years,121571.0,,4133.34,3.4
8,Income before taxes,65 years and older,67462.0,,1692.81,2.51
8,Income before taxes,65-74 years,75460.0,,2601.34,3.45
8,Income before taxes,75 years and older,56028.0,,2107.55,3.76
50,Average annual expenditures,All consumer units,78535.0,,831.48,1.06
50,Average annual expenditures,Under 25 years,47283.0,,2430.5,5.14
50,Average annual expenditures,25-34 years,74475.0,,1548.93,2.08
50,Average annual expenditures,35-44 years,91229.0,,1694.35,1.86
50,Average annual expenditures,45-54 years,100327.0,,1801.06,1.8
50,Average annual expenditures,55-64 years,84946.0,,2184.78,2.57
50,Average annual expenditures,65 years and older,61432.0,,1204.69,1.96
50,Average annual expenditures,65-74 years,65354.0,,1648.15,2.52
50,Average annual expenditures,75 years and older,55834.0,,1753.56,3.14
55,Food,All consumer units,10169.0,12.9,158.96,1.56
55,Food,Under 25 years,7215.0,15.3,413.9,5.74
55,Food,25-34 years,9630.0,12.9,325.33,3.38
55,Food,35-44 years,12460.0,13.7,378.08,3.03
55,Food,45-54 years,12772.0,12.7,269.32,2.11
55,Food,55-64 years,10214.0,12.0,244.79,2.4
55,Food,65 years and older,7940.0,12.9,227.52,2.87
55,Food,65-74 years,8483.0,13.0,294.99,3.48
55,Food,75 years and older,7168.0,12.8,271.09,3.78
60,Food at home,All consumer units,6224.0,7.9,118.31,1.9
60,Food at home,Under 25 years,4189.0,8.9,278.08,6.64
60,Food at home,25-34 years,5712.0,7.7,277.84,4.86
60,Food at home,35-44 years,7411.0,8.1,249.0,3.36
60,Food at home,45-54 years,7703.0,7.7,213.53,2.77
60,Food at home,55-64 years,6174.0,7.3,173.49,2.81
60,Food at home,65 years and older,5251.0,8.5,172.09,3.28
60,Food at home,65-74 years,5642.0,8.6,217.16,3.85
60,Food at home,75 years and older,4696.0,8.4,205.58,4.38
65,Cereals and bakery products,All consumer units,779.0,1.0,14.83,1.9
65,Cereals and bakery products,Under 25 years,501.0,1.1,42.04,8.39
65,Cereals and bakery products,25-34 years,681.0,0.9,31.09,4.57
65,Cereals and bakery products,35-44 years,961.0,1.1,36.82,3.83
65,Cereals and bakery products,45-54 years,944.0,0.9,35.94,3.81
65,Cereals and bakery products,55-64 years,750.0,0.9,26.61,3.55
65,Cereals and bakery products,65 years and older,685.0,1.1,25.03,3.66
65,Cereals and bakery products,65-74 years,710.0,1.1,34.42,4.85
