age_group,category,mean_annual_spending,weight_percent,allocation_out_of_1000
All consumer units,Food and beverages,10812.0,13.767110205640797,137.67110205640796
All consumer units,Housing,24675.0,31.419112497612527,314.19112497612525
All consumer units,Apparel,2001.0,2.547908575794232,25.47908575794232
All consumer units,Transportation,13318.0,16.95804418412173,169.5804418412173
All consumer units,Medical care,6197.0,7.890749347424715,78.90749347424715
All consumer units,Recreation,3734.0,4.754568026994334,47.54568026994334
All consumer units,Education and communication,3160.0,4.023683707900936,40.23683707900936
All consumer units,Other goods and services,14638.0,18.638823454510728,186.38823454510728
Under 25 years,Food and beverages,7597.0,16.067085421821798,160.67085421821798
Under 25 years,Housing,16006.0,33.85148996468075,338.5148996468075
Under 25 years,Apparel,1541.0,3.2590994649239686,32.59099464923969
Under 25 years,Transportation,9243.0,19.548252014466087,195.48252014466087
Under 25 years,Medical care,1485.0,3.1406636634731298,31.4066366347313
Under 25 years,Recreation,1927.0,4.075460524924392,40.754605249243916
Under 25 years,Education and communication,3499.0,7.4001226656515025,74.00122665651503
Under 25 years,Other goods and services,5985.0,12.657826280058371,126.57826280058372
25-34 years,Food and beverages,10230.0,13.736153071500503,137.36153071500502
25-34 years,Housing,25012.0,33.58442430345754,335.84424303457536
25-34 years,Apparel,2220.0,2.9808660624370593,29.808660624370592
25-34 years,Transportation,12802.0,17.18966096005371,171.89660960053712
25-34 years,Medical care,3825.0,5.13595166163142,51.3595166163142
25-34 years,Recreation,3317.0,4.453843571668345,44.538435716683445
25-34 years,Education and communication,2786.0,3.7408526351124536,37.408526351124536
25-34 years,Other goods and services,14283.0,19.178247734138974,191.78247734138975
35-44 years,Food and beverages,13187.0,14.454833441120696,144.54833441120695
35-44 years,Housing,28636.0,31.389141610672045,313.89141610672044
35-44 years,Apparel,2649.0,2.9036819432417325,29.036819432417325
35-44 years,Transportation,15581.0,17.078999002510166,170.78999002510164
35-44 years,Medical care,5949.0,6.52095276721218,65.20952767212181
35-44 years,Recreation,4269.0,4.679433075009043,46.79433075009043
35-44 years,Education and communication,3178.0,3.483541417750934,34.83541417750934
35-44 years,Other goods and services,17780.0,19.4894167424832,194.894167424832
45-54 years,Food and beverages,13610.0,13.565640356035763,135.65640356035763
45-54 years,Housing,28702.0,28.608450367298932,286.08450367298934
45-54 years,Apparel,2547.0,2.5386984560487207,25.386984560487207
45-54 years,Transportation,17184.0,17.127991467899967,171.27991467899966
45-54 years,Medical care,6748.0,6.726005960509135,67.26005960509136
45-54 years,Recreation,4986.0,4.969748921028238,49.69748921028238
45-54 years,Education and communication,5226.0,5.2089666789598015,52.08966678959801
45-54 years,Other goods and services,21324.0,21.254497792219443,212.54497792219442
55-64 years,Food and beverages,10871.0,12.797541967838391,127.97541967838391
55-64 years,Housing,25267.0,29.744779036093515,297.44779036093513
55-64 years,Apparel,2032.0,2.3921079273891652,23.921079273891653
55-64 years,Transportation,15085.0,17.758340592847222,177.58340592847222
55-64 years,Medical care,6711.0,7.900313140112542,79.00313140112542
55-64 years,Recreation,3809.0,4.4840251453864814,44.840251453864816
55-64 years,Education and communication,3608.0,4.247404233277612,42.47404233277612
55-64 years,Other goods and services,17563.0,20.67548795705507,206.75487957055068
65 years and older,Food and beverages,8472.0,13.79085818465946,137.9085818465946
65 years and older,Housing,20806.0,33.868342232061465,338.6834223206147
65 years and older,Apparel,1198.0,1.9501237140252636,19.501237140252638
65 years and older,Transportation,9538.0,15.526110170595128,155.2611017059513
65 years and older,Medical care,7799.0,12.695337934626904,126.95337934626905
65 years and older,Recreation,3145.0,5.11948170334679,51.1948170334679
65 years and older,Education and communication,1816.0,2.9561140773538224,29.561140773538224
65 years and older,Other goods and services,8658.0,14.093631983331163,140.93631983331161
65-74 years,Food and beverages,9093.0,13.91345594760841,139.1345594760841
65-74 years,Housing,20837.0,31.883281819016435,318.83281819016435
65-74 years,Apparel,1377.0,2.106986565474187,21.06986565474187
65-74 years,Transportation,11414.0,17.464883557242096,174.64883557242098
65-74 years,Medical care,7715.0,11.804939253909478,118.04939253909478
65-74 years,Recreation,3239.0,4.956085319949812,49.560853199498126
65-74 years,Education and communication,1974.0,3.020473115647091,30.20473115647091
65-74 years,Other goods and services,9705.0,14.849894421152493,148.49894421152493
75 years and older,Food and beverages,7590.0,13.59386753591002,135.9386753591002
75 years and older,Housing,20763.0,37.187018662463736,371.87018662463737
75 years and older,Apparel,942.0,1.6871440341010853,16.871440341010853
75 years and older,Transportation,6855.0,12.277465343697388,122.77465343697388
75 years and older,Medical care,7918.0,14.181323208081098,141.813232080811
75 years and older,Recreation,3012.0,5.394562452985636,53.94562452985636
75 years and older,Education and communication,1590.0,2.8477271913171185,28.477271913171187
75 years and older,Other goods and services,7164.0,12.830891571443923,128.30891571443922
