anchor_year,age_group,category,category_label,ce_item,mean_annual_spending_anchor_dollars
2024,25 to 34 Years,housing,Housing,Housing,26380.0
2024,25 to 34 Years,education,Education,Education,1418.0
2024,25 to 34 Years,transport,Transportation,Transportation,12802.0
2024,25 to 34 Years,health,Healthcare,Healthcare,3825.0
2024,35 to 44 Years,housing,Housing,Housing,30369.0
2024,35 to 44 Years,education,Education,Education,1445.0
2024,35 to 44 Years,transport,Transportation,Transportation,15581.0
2024,35 to 44 Years,health,Healthcare,Healthcare,5949.0
2024,45 to 54 Years,housing,Housing,Housing,30747.0
2024,45 to 54 Years,education,Education,Education,3181.0
2024,45 to 54 Years,transport,Transportation,Transportation,17184.0
2024,45 to 54 Years,health,Healthcare,Healthcare,6748.0
2024,55 to 64 Years,housing,Housing,Housing,27019.0
2024,55 to 64 Years,education,Education,Education,1856.0
2024,55 to 64 Years,transport,Transportation,Transportation,15085.0
2024,55 to 64 Years,health,Healthcare,Healthcare,6711.0
2024,65 Years and Older,housing,Housing,Housing,22193.0
2024,65 Years and Older,education,Education,Education,429.0
2024,65 Years and Older,transport,Transportation,Transportation,9538.0
2024,65 Years and Older,health,Healthcare,Healthcare,7799.0
