year,index_2000,health_cpi_index,health_2024d
1947,5.193352508788751,13.541666666666666,156.10906307515566
1948,5.519335250878875,14.391666666666666,165.90790888048852
1949,5.688718440396293,14.833333333333334,170.99946601463208
1950,5.790987535953978,15.1,174.0736137182659
1951,6.069031639501438,15.825000000000001,182.4314527875204
1952,6.4077980185362735,16.708333333333332,192.61456705580747
1953,6.631511665068713,17.291666666666668,199.3392651575065
1954,6.836049856184085,17.825,205.48756056477413
1955,6.999041227229147,18.25,210.3869834674406
1956,7.248322147651008,18.900000000000002,217.88021849504807
1957,7.545541706615532,19.675,226.8144602587339
1958,7.913071268775966,20.633333333333333,237.86217856866799
1959,8.242249920102267,21.491666666666664,247.75709148973934
1960,8.536273569830618,22.258333333333336,256.5952661376867
1961,8.785554490252476,22.90833333333333,264.08850116529413
1962,9.022051773729627,23.525000000000002,271.1974677299474
1963,9.23617769255353,24.083333333333332,277.6339644844307
1964,9.431128155960373,24.59166666666667,283.4940585444827
1965,9.658037711728987,25.183333333333334,290.31482376192025
1966,10.086289549376797,26.3,303.18781727088697
1967,10.795781399808247,28.150000000000002,324.51471696484674
1968,11.454138702460849,29.866666666666664,344.3045428069895
1969,12.240332374560563,31.916666666666668,367.9370532786746
1970,13.023330137424097,33.958333333333336,391.4734966346212
1971,13.857462448066475,36.13333333333333,416.5470138423846
1972,14.314477468839884,37.324999999999996,430.28461139299833
1973,14.864173857462449,38.75833333333333,446.8081553000302
1974,16.24800255672739,42.36666666666667,488.40521641482553
1975,18.21348673697667,47.49166666666667,547.4864925940383
1976,19.942473633748804,52.0,599.4588022085978
1977,21.850431447746885,56.975,656.8108703045166
1978,23.6816874400767,61.75,711.8573276227099
1979,25.87727708533078,67.47500000000001,777.8554361350989
1980,28.70885266858421,74.85833333333333,862.9709006794606
1981,31.802492809204217,82.925,955.963868714384
1982,35.51933525087888,92.61666666666667,1067.6899243183263
1983,38.60338766379035,100.65833333333335,1160.3946910060342
1984,41.025886864813046,106.97500000000001,1233.2135647358607
1985,43.57302652604667,113.61666666666667,1309.7790559794907
1986,46.85202940236498,122.16666666666667,1408.3439167272506
1987,49.92329817833173,130.17499999999998,1500.664414952004
1988,53.16395014381592,138.625,1598.0764703109014
1989,57.238734419942475,149.25,1720.562042877562
1990,62.43847874720358,162.80833333333334,1876.8632401841946
1991,67.88750399488654,177.01666666666665,2040.657672518435
1992,72.88910194950462,190.0583333333333,2191.002708649277
1993,77.23873441994247,201.4,2321.7500531694536
1994,80.93000958772771,211.025,2432.7075718474875
1995,84.54458293384468,220.45000000000002,2541.359479747796
1996,87.54234579737935,228.26666666666665,2631.4704343105623
1997,89.96804090763823,234.59166666666667,2704.385375156128
1998,92.85714285714286,242.125,2791.2300477837834
1999,96.09140300415467,250.5583333333333,2888.449968911203
2000,100.0,260.75,3005.940051459459
2001,104.60850111856823,272.76666666666665,3144.4688323544588
2002,109.54298497922659,285.6333333333333,3292.7964590547913
2003,113.92457654202622,297.05833333333334,3424.504474732353
2004,118.94215404282518,310.14166666666665,3575.3298464418885
2005,123.95973154362414,323.22499999999997,3726.155218151423
2006,128.93256631511665,336.19166666666666,3875.6356502406193
2007,134.63659316075424,351.0649166666667,4047.0952777396387
2008,139.62473633748803,364.0715,4197.035871313222
2009,144.0491530840524,375.60816666666665,4330.03118634168
2010,148.9638223074465,388.4231666666667,4477.763196924434
2011,153.4961649089166,400.24125000000004,4614.002698451384
2012,159.12690955576863,414.9234166666667,4783.259506986518
2013,163.04218600191754,425.1325,4900.950369806667
2014,166.943815915628,435.306,5018.231026042613
2015,171.33720038350907,446.76174999999995,5150.29352937725
2016,177.82480025567273,463.67816666666664,5345.3068923130495
2017,182.28855864493448,475.3174166666667,5479.48479353625
2018,185.88843080856503,484.7040833333333,5587.69479270416
2019,191.14167465643976,498.4019166666667,5745.6041535282575
2020,198.98603387663792,518.8560833333333,5981.400889108546
2021,201.44234579737935,525.2609166666666,6055.2361529228865
2022,209.60667945030357,546.5494166666666,6300.6511281309195
2023,210.57766059443912,549.08125,6329.838239234608
2024,216.23851070629593,563.8419166666666,6500.0
2025,221.60105465004793,577.82475,6661.194856182355
