year,index_2000,house_price_nom,house_price_2024d
1963,10.772903610862429,18050.0,184884.35727891154
1964,11.29513578036407,18925.0,191399.0705265986
1965,12.01133989853775,20125.0,200359.30507802166
1966,12.831990450611757,21500.0,207783.61745827983
1967,13.578036407042674,22750.0,213932.17961528854
1968,14.801551775589376,24800.0,223655.47867752757
1969,15.279021187705164,25600.0,218912.3343934575
1970,14.010743061772605,23475.0,189667.62041210564
1971,15.055207400775888,25225.0,195418.00751183368
1972,16.427931960608774,27525.0,206479.5170386608
1973,19.456878543718293,32600.0,230321.08033033033
1974,21.515965383467623,36050.0,229342.21615683622
1975,23.440763951059385,39275.0,228927.7596004955
1976,26.395105938525816,44225.0,243776.04898228144
1977,29.185317815577438,48900.0,253090.34428708925
1978,33.33333333333333,55850.0,268567.01085845684
1979,37.45150701283199,62750.0,271222.51865885867
1980,38.645180543121455,64750.0,246472.06340378197
1981,41.151894956729336,68950.0,237875.6673998717
1982,41.31602506714414,69225.0,225027.0413212435
1983,44.986571172784245,75375.0,237392.52823795177
1984,47.717099373321396,79950.0,241419.1133483074
1985,50.298418382572365,84275.0,245765.0427254416
1986,54.92390331244405,92025.0,263366.972287691
1987,62.48880931065354,104700.0,289049.2484048405
1988,66.98000596836765,112225.0,297684.977697132
1989,71.87406744255446,120425.0,304726.89772116166
1990,72.99313637720084,122300.0,293621.8711652529
1991,71.60549089823934,119975.0,276337.15557119256
1992,72.44106236944195,121375.0,271343.26270934794
1993,75.49985079080871,126500.0,274692.6155177386
1994,77.8424350940018,130425.0,276018.6614100185
1995,79.66278722769322,133475.0,274765.06854971015
1996,83.70635631154879,140250.0,280490.0151418553
1997,86.54133094598627,145000.0,283365.4708752985
1998,90.67442554461354,151925.0,292360.3660600174
1999,95.56848701880037,160125.0,301542.39494221815
2000,100.0,167550.0,305218.14184088266
2001,103.31244404655327,173100.0,306661.54207454814
2002,111.02655923604894,186025.0,324413.9831596016
2003,114.66726350343181,192125.0,327614.7702151755
2004,130.1999403163235,218150.0,362293.57976705197
2005,141.1817367949866,236550.0,379960.3679539151
2006,145.47896150402866,243750.0,379289.75135380926
2007,146.19516562220232,244950.0,370585.4352441955
2008,137.00387943897343,229550.0,334446.9836238161
2009,128.70784840346167,215650.0,315316.2247460034
2010,132.91554759773203,222700.0,320370.2873045318
2011,134.22858848105045,224900.0,313634.21347253147
2012,145.86690540137272,244400.0,333918.04094693274
2013,158.89286780065652,266225.0,358485.8140358471
2014,170.56102655923604,285775.0,378668.0658391163
2015,175.5595344673232,294150.0,389303.5956281616
2016,182.10981796478663,305125.0,398797.6967528053
2017,192.4350940017905,322425.0,412619.508862171
2018,194.136078782453,325275.0,406341.53164224257
2019,191.13697403760074,320250.0,392943.22138121683
2020,195.8519844822441,328150.0,397730.09790922207
2021,228.5884810504327,383000.0,443380.9425836893
2022,258.4004774694121,432950.0,464067.3115577817
2023,254.5658012533572,426525.0,439105.4623799953
2024,250.05968367651445,418975.0,418975.0
2025,248.8510892270964,416950.0,407390.4744736373
