category,age_group,ce_anchor_2024d,ce_share,benchmark_multiplier,effective_benchmark_share
housing,25 to 34 Years,26380.0,0.19296602978611346,1.0,0.19296602978611346
housing,35 to 44 Years,30369.0,0.22214500980191357,1.0,0.22214500980191357
housing,45 to 54 Years,30747.0,0.22491002721128245,1.0,0.22491002721128245
housing,55 to 64 Years,27019.0,0.1976402258829037,1.0,0.1976402258829037
housing,65 Years and Older,22193.0,0.16233870731778682,1.0,0.16233870731778682
education,25 to 34 Years,1418.0,0.1702485292352023,4.0,0.6809941169408092
education,35 to 44 Years,1445.0,0.17349021491175412,4.0,0.6939608596470165
education,45 to 54 Years,3181.0,0.3819185976707888,4.0,1.5276743906831551
education,55 to 64 Years,1856.0,0.22283587465482052,4.0,0.8913434986192821
education,65 Years and Older,429.0,0.05150678352743426,4.0,0.20602713410973705
transport,25 to 34 Years,12802.0,0.1823906539393076,1.0,0.1823906539393076
transport,35 to 44 Years,15581.0,0.22198318848838866,1.0,0.22198318848838866
transport,45 to 54 Years,17184.0,0.24482119960108278,1.0,0.24482119960108278
transport,55 to 64 Years,15085.0,0.21491665479413022,1.0,0.21491665479413022
transport,65 Years and Older,9538.0,0.13588830317709075,1.0,0.13588830317709075
health,25 to 34 Years,3825.0,0.12325986078886311,1.0,0.12325986078886311
health,35 to 44 Years,5949.0,0.19170533642691415,1.0,0.19170533642691415
health,45 to 54 Years,6748.0,0.21745295179169888,1.0,0.21745295179169888
health,55 to 64 Years,6711.0,0.21626063418406805,1.0,0.21626063418406805
health,65 Years and Older,7799.0,0.25132121680845576,1.0,0.25132121680845576
