Year,Age Group,Combined Median (2024 $)
1947,25 to 34 Years,24249.540382571733
1947,35 to 44 Years,27771.69179229481
1947,45 to 54 Years,26363.927004737674
1947,55 to 64 Years,22891.688483247268
1947,65 Years and Older,9268.221090909092
1948,25 to 34 Years,24565.219929933828
1948,35 to 44 Years,26839.303116147308
1948,45 to 54 Years,25356.857538275235
1948,55 to 64 Years,20995.11261623235
1948,65 Years and Older,8954.574365821094
1949,25 to 34 Years,24967.088615499906
1949,35 to 44 Years,26390.678383128296
1949,45 to 54 Years,24447.183687113487
1949,55 to 64 Years,21198.897637795275
1949,65 Years and Older,8784.482515691047
1950,25 to 34 Years,26041.080148120254
1950,35 to 44 Years,28216.455317371936
1950,45 to 54 Years,26706.090115092644
1950,55 to 64 Years,21509.091597274793
1950,65 Years and Older,8533.754824614638
1951,25 to 34 Years,27228.888543930458
1951,35 to 44 Years,29196.177720801566
1951,45 to 54 Years,26155.817745803357
1951,55 to 64 Years,22571.635331368052
1951,65 Years and Older,8009.855752316173
1952,25 to 34 Years,27959.444276104477
1952,35 to 44 Years,29263.75763747454
1952,45 to 54 Years,27799.868339046432
1952,55 to 64 Years,23560.672885441778
1952,65 Years and Older,9657.088487351575
1953,25 to 34 Years,29310.224062347785
1953,35 to 44 Years,30704.28001496073
1953,45 to 54 Years,30260.410390408855
1953,55 to 64 Years,25153.737185461323
1953,65 Years and Older,9081.347826086956
1954,25 to 34 Years,28729.164764665966
1954,35 to 44 Years,30854.794007490636
1954,45 to 54 Years,29424.977695167287
1954,55 to 64 Years,24341.548893647396
1954,65 Years and Older,9696.31896053898
1955,25 to 34 Years,30247.359097251712
1955,35 to 44 Years,32246.857177674872
1955,45 to 54 Years,31626.048519443455
1955,55 to 64 Years,25769.773478514486
1955,65 Years and Older,10090.709013031988
1956,25 to 34 Years,31383.336349924586
1956,35 to 44 Years,33973.36977953038
1956,45 to 54 Years,32049.579471572833
1956,55 to 64 Years,26344.19870288561
1956,65 Years and Older,10371.234616369378
1957,25 to 34 Years,31928.872593950506
1957,35 to 44 Years,33977.640317367026
1957,45 to 54 Years,32240.66657680124
1957,55 to 64 Years,25877.218458157848
1957,65 Years and Older,10038.570002495633
1958,25 to 34 Years,31644.951926059177
1958,35 to 44 Years,34284.33215301562
1958,45 to 54 Years,31487.88182831661
1958,55 to 64 Years,26629.482308454128
1958,65 Years and Older,10216.338655327343
1959,25 to 34 Years,33099.1797556719
1959,35 to 44 Years,36245.483392306814
1959,45 to 54 Years,33497.98597833014
1959,55 to 64 Years,27844.783258594918
1959,65 Years and Older,10549.81551524508
1960,25 to 34 Years,33222.89795416846
1960,35 to 44 Years,37157.19566566962
1960,45 to 54 Years,34728.99845916795
1960,55 to 64 Years,27573.668683812404
1960,65 Years and Older,10969.35094055681
1961,25 to 34 Years,33739.162427100135
1961,35 to 44 Years,37949.5383759733
1961,45 to 54 Years,35087.68240343348
1961,55 to 64 Years,28809.687170759382
1961,65 Years and Older,11234.342857142858
1962,25 to 34 Years,34119.5216087934
1962,35 to 44 Years,38809.10934502604
1962,45 to 54 Years,36711.09346806207
1962,55 to 64 Years,30229.17043023532
1962,65 Years and Older,12012.7632126788
1963,25 to 34 Years,35243.88660947407
1963,35 to 44 Years,39659.33667083855
1963,45 to 54 Years,37283.15875998121
1963,55 to 64 Years,30410.24480369515
1963,65 Years and Older,12163.131507031927
1964,25 to 34 Years,36545.7063403782
1964,35 to 44 Years,40736.85415092303
1964,45 to 54 Years,38544.561996967226
1964,55 to 64 Years,30715.849707514626
1964,65 Years and Older,12272.20179807257
1965,25 to 34 Years,38065.358024691355
1965,35 to 44 Years,41904.30797834527
1965,45 to 54 Years,39732.68518518518
1965,55 to 64 Years,31965.799032378116
1965,65 Years and Older,12487.112182129495
1966,25 to 34 Years,39481.69390433019
1966,35 to 44 Years,43820.867279894876
1966,45 to 54 Years,41968.37065105064
1966,55 to 64 Years,33889.52301799523
1966,65 Years and Older,12679.478000247189
1967,25 to 34 Years,40065.9758010307
1967,35 to 44 Years,44251.84387980795
1967,45 to 54 Years,43387.59182085903
1967,55 to 64 Years,34736.79210840413
1967,65 Years and Older,12929.997809952549
1968,25 to 34 Years,41432.76582143618
1968,35 to 44 Years,45926.6304762944
1968,45 to 54 Years,43868.83947939263
1968,55 to 64 Years,36562.62803789647
1968,65 Years and Older,14377.87414599065
1969,25 to 34 Years,42969.02071951345
1969,35 to 44 Years,47653.34257296592
1969,45 to 54 Years,46245.97845792898
1969,55 to 64 Years,37770.21266635458
1969,65 Years and Older,14646.54731277533
1970,25 to 34 Years,42444.29413805064
1970,35 to 44 Years,47689.64236664286
1970,45 to 54 Years,46619.487449905086
1970,55 to 64 Years,37848.00484071433
1970,65 Years and Older,15159.163172706909
1971,25 to 34 Years,42776.191826128044
1971,35 to 44 Years,48153.21216780145
1971,45 to 54 Years,47137.929348683174
1971,55 to 64 Years,37649.72978189539
1971,65 Years and Older,16210.583722481655
1972,25 to 34 Years,44182.91827756299
1972,35 to 44 Years,50946.82626538988
1972,45 to 54 Years,50177.066057070784
1972,55 to 64 Years,40043.054889589905
1972,65 Years and Older,17126.667392606305
1973,25 to 34 Years,45146.621728786675
1973,35 to 44 Years,51850.07267833109
1973,45 to 54 Years,50815.850304972606
1973,55 to 64 Years,40446.82629516761
1973,65 Years and Older,17755.667701046652
1974,25 to 34 Years,42884.87554326353
1974,35 to 44 Years,49434.86161379604
1974,45 to 54 Years,48826.865063187935
1974,55 to 64 Years,38425.04902856447
1974,65 Years and Older,18329.741309620047
1975,25 to 34 Years,42168.567084758644
1975,35 to 44 Years,47979.11541263399
1975,45 to 54 Years,48524.599865847995
1975,55 to 64 Years,37837.841214802414
1975,65 Years and Older,18320.014771048744
1976,25 to 34 Years,42184.627081824765
1976,35 to 44 Years,48587.708248679395
1976,45 to 54 Years,48566.42338007985
1976,55 to 64 Years,38377.92283298097
1976,65 Years and Older,18309.931060896208
1977,25 to 34 Years,42006.98677800974
1977,35 to 44 Years,49393.36378291241
1977,45 to 54 Years,49267.138147728445
1977,55 to 64 Years,38793.33238442268
1977,65 Years and Older,18241.43489401351
1978,25 to 34 Years,40908.106528093536
1978,35 to 44 Years,47861.661385242194
1978,45 to 54 Years,47778.1004151018
1978,55 to 64 Years,38318.89769765421
1978,65 Years and Older,18442.092378142752
1979,25 to 34 Years,40106.31062355658
1979,35 to 44 Years,46401.8140116764
1979,45 to 54 Years,45366.1581920904
1979,55 to 64 Years,36316.06451612903
1979,65 Years and Older,18369.241223103058
1980,25 to 34 Years,38717.654320987655
1980,35 to 44 Years,45686.67207792208
1980,45 to 54 Years,45185.13282732448
1980,55 to 64 Years,35059.18217433889
1980,65 Years and Older,18728.00410677618
1981,25 to 34 Years,37080.93570451436
1981,35 to 44 Years,44689.2471042471
1981,45 to 54 Years,43852.16850167544
1981,55 to 64 Years,34870.75508228461
1981,65 Years and Older,18970.981963927854
1982,25 to 34 Years,35973.73097826087
1982,35 to 44 Years,43576.59543109801
1982,45 to 54 Years,42823.00435413643
1982,55 to 64 Years,34353.11046511628
1982,65 Years and Older,20293.928430987024
1983,25 to 34 Years,35806.908801696714
1983,35 to 44 Years,44265.04042179262
1983,45 to 54 Years,44180.767018216684
1983,55 to 64 Years,34369.82633863965
1983,65 Years and Older,20507.925983037778
1984,25 to 34 Years,37274.66494845361
1984,35 to 44 Years,46294.42799461642
1984,45 to 54 Years,45361.04562737643
1984,55 to 64 Years,35125.78947368421
1984,65 Years and Older,21155.47511312217
1985,25 to 34 Years,37534.05432595574
1985,35 to 44 Years,46716.70542635659
1985,45 to 54 Years,46383.24134705332
1985,55 to 64 Years,35368.321273516645
1985,65 Years and Older,21407.424017790956
1986,25 to 34 Years,38014.75247524752
1986,35 to 44 Years,47972.50543309531
1986,45 to 54 Years,49089.34283088235
1986,55 to 64 Years,36162.65792031098
1986,65 Years and Older,21942.118030412745
1987,25 to 34 Years,38494.77666585306
1987,35 to 44 Years,48610.13525698828
1987,45 to 54 Years,49513.16209034544
1987,55 to 64 Years,36083.85964912281
1987,65 Years and Older,22301.14893617021
1988,25 to 34 Years,38877.23140495868
1988,35 to 44 Years,49350.06968641115
1988,45 to 54 Years,49768.978195810174
