year,house_price_2024d,tuition_2024d,auto_2024d,health_2024d
1947,,,9351.888085942444,156.10906307515566
1948,,,10182.145356730278,165.90790888048852
1949,,,11094.887470381394,170.99946601463208
1950,,,11148.975891931092,174.0736137182659
1951,,,11743.948528977748,182.4314527875204
1952,,,12704.018011484852,192.61456705580747
1953,,,12778.389591115683,199.3392651575065
1954,,,12577.81169453556,205.48756056477413
1955,,,12136.089585213043,210.3869834674406
1956,,,12478.64958836112,217.88021849504807
1957,,,13127.710646957472,226.8144602587339
1958,,,13551.403282430088,237.862178568668
1959,,,14128.346445626848,247.7570914897393
1960,,,13945.79802289662,256.5952661376867
1961,,,13943.544338665386,264.08850116529413
1962,,,13889.455917115689,271.1974677299474
1963,184884.35727891157,,13806.06960055991,277.6339644844307
1964,191399.0705265986,,13767.756968628872,283.4940585444827
1965,200359.3050780217,,13465.76328164307,290.31482376192025
1966,207783.61745827983,,13222.36538466944,303.18781727088697
1967,213932.1796152885,,13346.318017387492,324.51471696484674
1968,223655.4786775276,,13709.161178616703,344.3045428069895
1969,218912.3343934575,,13932.2759175092,367.9370532786746
1970,189667.62041210564,,14369.49065836924,391.4734966346212
1971,195418.00751183368,,14948.687505797236,416.5470138423846
1972,206479.5170386608,,14817.97382038547,430.28461139299833
1973,230321.08033033035,,14822.481188847947,446.8081553000302
1974,229342.21615683625,,15681.134880949368,488.40521641482553
1975,228927.7596004955,,17033.34541969177,547.4864925940383
1976,243776.04898228144,,18110.60648222322,599.4588022085978
1977,253090.34428708925,,19072.929648961555,656.8108703045166
1978,268567.01085845684,2650.504210701917,20526.555978109634,711.8573276227099
1979,271222.51865885867,2867.3770810228016,22155.96967729423,777.8554361350989
1980,246472.063403782,3156.294601620641,23925.11179881553,862.9709006794606
1981,237875.6673998717,3542.749494901127,25385.49918065733,955.963868714384
1982,225027.0413212435,4012.702290553878,26361.344452783094,1067.6899243183263
1983,237392.52823795177,4419.477469809915,27010.40551137945,1160.3946910060342
1984,241419.1133483074,4866.523761272045,27756.374991919005,1233.2135647358607
1985,245765.0427254416,5307.658696814015,28680.385526726317,1309.7790559794907
1986,263366.972287691,5745.468494650894,29910.8971169819,1408.3439167272506
1987,289049.2484048405,6206.184796678394,30934.069757963647,1500.664414952004
1988,297684.977697132,6696.457878306698,31511.012921160407,1598.0764703109014
1989,304726.89772116166,7212.223682340692,32225.430822462644,1720.562042877562
1990,293621.8711652529,7789.319804046352,32831.67188066548,1876.8632401841944
1991,276337.15557119256,8483.165205175177,34071.19820784602,2040.657672518435
1992,271343.26270934794,9242.035521425769,34943.37400533487,2191.002708649277
1993,274692.6155177386,9988.34420634602,35898.9361193795,2321.7500531694536
1994,276018.6614100185,10633.42092113352,37208.32665772839,2432.7075718474875
1995,274765.0685497101,11253.743833005354,38118.81508714827,2541.359479747796
1996,280490.0151418553,11843.77104578636,38853.51614653164,2631.4704343105623
1997,283365.4708752985,12430.103661117271,39011.27404271825,2704.385375156128
1998,292360.3660600174,13045.623596303973,38792.66667228823,2791.2300477837834
1999,301542.39494221815,13671.118944605943,38634.90877610161,2888.449968911203
2000,305218.14184088266,14361.269748284672,38605.610881095534,3005.940051459459
2001,306661.54207454814,15119.401145045244,38432.07719529026,3144.4688323544588
2002,324413.9831596016,16051.548081705536,37861.89508478721,3292.7964590547917
2003,327614.7702151755,17139.976490505065,37280.44455312798,3424.504474732353
2004,362293.579767052,18365.843924448327,37066.34455116044,3575.3298464418885
2005,379960.3679539151,19544.420511030305,37296.220342746645,3726.155218151423
2006,379289.75135380926,20749.96765899802,37208.32665772839,3875.6356502406193
2007,370585.4352441955,21904.04167529093,36848.931633372966,4047.095277739639
2008,334446.9836238161,23146.597605916297,36291.61805983029,4197.035871313222
2009,315316.2247460034,24339.065878910653,36678.28266338368,4330.03118634168
2010,320370.2873045318,25413.23683615025,37322.49830088287,4477.763196924434
2011,313634.21347253147,26478.053072646188,38371.250257889165,4614.002698451384
2012,333918.04094693274,27532.3655685915,39006.42862162109,4783.259506986518
2013,358485.8140358471,28538.50051378749,39425.95194126592,4900.950369806667
2014,378668.0658391163,29473.411009340467,39558.8742372243,5018.231026042613
2015,389303.5956281616,30537.83931310415,39791.49952357262,5150.29352937725
2016,398797.6967528053,31394.62015637985,39851.67289254665,5345.3068923130495
2017,412619.508862171,32128.01622321199,39752.89391269152,5479.48479353625
2018,406341.53164224257,32864.57117086398,39562.07446883266,5587.69479270416
2019,392943.2213812168,33817.65539127399,39710.09644914033,5745.6041535282575
2020,397730.09790922207,34480.84302276188,39917.32271420259,5981.400889108546
2021,443380.9425836893,34967.49539888909,42253.987598834094,6055.236152922887
2022,464067.3115577817,35914.11407376142,46645.89981814248,6300.65112813092
2023,439105.4623799953,37087.53300230306,48381.7550235684,6329.838239234608
2024,418975.0,38270.0,48108.0,6500.0
2025,407390.4744736373,39341.167249512655,48255.22192240559,6661.194856182355
