year,index_2000,tuition_cpi_index,tuition_2024d
1978,18.455918293843737,59.78333333333333,2650.504210701917
1979,19.96604152195724,64.675,2867.3770810228016
1980,21.977824084793287,71.19166666666666,3156.294601620641
1981,24.668776208484473,79.90833333333333,3542.749494901127
1982,27.941138638059222,90.50833333333333,4012.702290553878
1983,30.77358442026189,99.68333333333334,4419.477469809915
1984,33.886444907514594,109.76666666666667,4866.523761272045
1985,36.95814360320032,119.71666666666665,5307.658696814015
1986,40.00668879112963,129.59166666666667,5745.468494650894
1987,43.21473592138097,139.98333333333332,6206.184796678394
1988,46.628592009467205,151.04166666666666,6696.457878306698
1989,50.21995832368603,162.67499999999998,7212.223682340692
1990,54.23837822541226,175.6916666666667,7789.319804046352
1991,59.06974351058629,191.34166666666667,8483.165205175177
1992,64.3538885029971,208.45833333333334,9242.035521425769
1993,69.55056468832805,225.29166666666666,9988.344206346019
1994,74.04234519307452,239.84166666666667,10633.42092113352
1995,78.36176069563427,253.83333333333334,11253.743833005354
1996,82.47022201641326,267.14166666666665,11843.771045786361
1997,86.55295721746289,280.3666666666667,12430.103661117271
1998,90.83892876437447,294.25,13045.623596303973
1999,95.19436083455533,308.35833333333335,13671.118944605945
2000,100.0,323.925,14361.269748284672
2001,105.27899976846493,341.02500000000003,15119.401145045244
2002,111.76969977618276,362.05,16051.548081705536
2003,119.34861464845257,386.59999999999997,17139.976490505065
2004,127.88454117465461,414.25,18365.843924448327
2005,136.09117336832085,440.8333333333333,19544.420511030305
2006,144.48560623601142,468.02500000000003,20749.96765899802
2007,152.5216228036325,494.05566666666664,21904.04167529093
2008,161.17375421265209,522.0820833333333,23146.597605916297
2009,169.47711661650072,548.97875,24339.065878910653
2010,176.95675439273495,573.2071666666667,25413.23683615025
2011,184.3712536338144,597.2245833333333,26478.053072646188
2012,191.7126135165033,621.0050833333333,27532.3655685915
2013,198.7185047979213,643.6989166666666,28538.500513787494
2014,205.22844794319673,664.78625,29473.411009340467
2015,212.64024594170462,688.7949166666667,30537.83931310415
2016,218.60615883306323,708.12,31394.620156379846
2017,223.71292222994,724.6620833333333,32128.01622321199
2018,228.8416814591855,741.2754166666667,32864.57117086398
2019,235.47817138740962,762.7726666666667,33817.65539127399
2020,240.09606133106942,777.7311666666666,34480.84302276188
2021,243.48470582182088,788.7078333333334,34967.49539888909
2022,250.07617504051862,810.0592499999999,35914.11407376142
2023,258.2468935710427,836.52625,37087.53300230306
2024,266.48061536878396,863.1973333333334,38270.0
2025,273.93933780967814,887.358,39341.167249512655
