"Table with row headers in column A and column headers in rows 8 through 10, 92 through 94, 149 through 151, 233 through 235, 317 through 319, 401 through 403, 485 through 487, 569 through 571, and 613 through 615",,,,,,
"Table P-8. Age--All People, by Median Income and Sex: 1947 to 2024",,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar25.pdf>.",,,,,,
Footnotes are available at <www.census.gov/topics/income-poverty/income/guidance/cps-historic-footnotes.html>.,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1948 to 2025 Annual Social and Economic Supplements (CPS ASEC).",,,,,,
"(People 15 years old and over beginning with March 1980, and people 14 years old and over as of March of the following year for previous years. Income in current and 2024 C-CPI-U (2000-2024) and R-CPI-U-RS (pre-2000) adjusted dollars (28))",,,,,,
15 Years and Over,,,,,,
Age and year,Male,,,Female,,
,Number with income (thousands),Median income,,Number with income (thousands),Median income,
,,"Current
dollars","2024
dollars",,"Current
dollars","2024
dollars"
2024,123000,52480,52480,123400,36910,36910
2023,120600,51350,52680,121200,35410,36330
2022,119400,48450,51650,119700,32790,34950
2021,118200,45920,52720,119300,30940,35520
2020 (41),117900,42700,51210,118400,29410,35280
2019,116600,44310,53700,118700,29410,35640
2018,115200,41620,51180,116900,27080,33300
2017 (40),114700,40400,50680,116500,25900,32490
2017,114800,40400,50680,116600,25490,31980
2016,113200,38870,49620,115400,24890,31780
2015,112300,37140,47840,114400,23770,30620
2014,110400,36300,46720,112600,22240,28620
2013 (39),109900,35630,46510,112100,22130,28880
2013 (38),108700,35230,45990,110000,22060,28800
2012,107500,33900,44790,109400,21520,28430
2011,106200,32990,44420,108300,21100,28420
2010 (37),105200,32210,44720,107200,20780,28850
2009 (36),105000,32180,45300,106200,20960,29500
2008,105400,33160,46490,106400,20870,29250
2007,104800,33200,48240,105200,20920,30410
2006,103900,32270,48090,104600,20010,29830
2005,103000,31280,47970,104200,18580,28490
2004 (35),101800,30520,48160,103400,17670,27880
2003,100800,29930,48420,102700,17260,27920
2002,99790,29240,48290,102500,16810,27770
2001,98870,29100,48660,101900,16610,27780
2000 (30),98500,28340,48460,101700,16060,27460
1999 (29),97060,27290,48270,101000,15300,27070
1998,94950,26490,47830,98690,14430,26050
1997,94170,25210,46140,97450,13700,25080
1996,93440,23830,44550,96560,12820,23950
1995 (25),92070,22560,43290,96010,12130,23270
1994 (24),91250,21720,42660,95150,11470,22520
1993 (23),90190,21100,42350,94420,11050,22170
1992 (22),90180,20460,42070,93520,10710,22030
1991,88650,20470,43170,92570,10480,22090
1990,88220,20290,44350,92250,10070,22010
1989,87450,19890,45590,91400,9624,22060
1988,86580,18910,45230,90590,8884,21250
1987 (21),85710,17790,44120,89660,8295,20580
1986,84470,17110,43890,87820,7610,19520
